,evaluation record
0,-176.2
1,-98.4
2,-67.8
3,-153.4
4,608.2
5,2397.4
6,220.6
7,106.6
8,3007.8
9,-425.8
10,3257.0
11,2721.8
12,2693.0
13,2876.6
14,2812.2
15,2831.0
16,-4.6
17,307.0
18,2857.4
19,503.0
20,10.6
21,2804.6
22,3071.0
23,2637.4
24,2832.6
25,2581.4
26,1033.0
27,2907.8
28,2629.0
29,3007.0
30,3075.4
31,3029.0
32,3030.2
33,2741.4
34,3013.0
35,2984.6
36,2851.8
37,2827.0
38,2549.0
39,2813.4
40,2932.2
41,3027.4
42,2793.0
43,3191.8
44,2957.0
45,3541.0
46,2845.8
47,2838.2
48,2906.2
49,2983.0
50,2976.2
51,2894.2
52,2922.2
53,2825.0
